epoch,accuracy,loss
0,0.5,0.27363520860671997
1,0.5,0.266783207654953
2,0.5,0.25822311639785767
3,0.5,0.2523004710674286
4,0.5,0.25036266446113586
5,0.75,0.2509463429450989
6,0.5,0.25193822383880615
7,0.5,0.252200722694397
8,0.5,0.25171923637390137
9,0.75,0.2509993016719818
10,0.75,0.25048232078552246
11,0.5,0.2502973973751068
12,0.5,0.25032880902290344
13,0.5,0.2504040598869324
14,0.5,0.2504233419895172
15,0.5,0.2503802180290222
16,0.5,0.25031501054763794
17,0.5,0.25026512145996094
18,0.5,0.25024229288101196
19,0.5,0.25023770332336426
20,0.5,0.2502373456954956
21,0.5,0.2502326965332031
22,0.5,0.25022298097610474
23,0.5,0.25021129846572876
24,0.5,0.2502008378505707
25,0.5,0.2501926124095917
26,0.5,0.2501859664916992
27,0.5,0.2501797676086426
28,0.5,0.25017327070236206
29,0.5,0.2501663565635681
30,0.5,0.2501593828201294
31,0.5,0.25015249848365784
32,0.5,0.250145822763443
33,0.5,0.25013935565948486
34,0.5,0.2501329481601715
35,0.5,0.25012654066085815
36,0.5,0.2501201331615448
37,0.5,0.25011375546455383
38,0.5,0.25010743737220764
39,0.5,0.25010114908218384
40,0.5,0.2500949203968048
41,0.5,0.2500886917114258
42,0.5,0.2500825524330139
43,0.5,0.25007641315460205
44,0.5,0.2500702738761902
45,0.5,0.2500641942024231
46,0.5,0.250058114528656
47,0.5,0.2500520944595337
48,0.5,0.2500460743904114
49,0.5,0.25004008412361145
50,0.5,0.2500341236591339
51,0.5,0.25002819299697876
52,0.5,0.250022292137146
53,0.5,0.25001636147499084
54,0.5,0.25001049041748047
55,0.5,0.2500046491622925
56,0.5,0.2499987930059433
57,0.5,0.2499929666519165
58,0.5,0.2499871551990509
59,0.5,0.2499813735485077
60,0.5,0.2499755620956421
61,0.5,0.24996981024742126
62,0.5,0.24996404349803925
63,0.5,0.24995830655097961
64,0.5,0.24995258450508118
65,0.5,0.24994686245918274
66,0.5,0.2499411255121231
67,0.5,0.24993544816970825
68,0.5,0.24992972612380981
69,0.5,0.24992403388023376
70,0.5,0.2499183714389801
71,0.5,0.24991264939308167
72,0.5,0.249906986951828
73,0.5,0.24990132451057434
74,0.5,0.24989564716815948
75,0.5,0.24988996982574463
76,0.5,0.24988433718681335
77,0.5,0.2498786896467209
78,0.5,0.24987301230430603
79,0.5,0.24986732006072998
80,0.5,0.2498616725206375
81,0.5,0.24985599517822266
82,0.5,0.249850332736969
83,0.5,0.24984465539455414
84,0.5,0.24983897805213928
85,0.5,0.24983330070972443
86,0.5,0.24982759356498718
87,0.5,0.24982193112373352
88,0.5,0.24981623888015747
89,0.5,0.24981051683425903
90,0.5,0.2498047947883606
91,0.5,0.24979907274246216
92,0.5,0.24979335069656372
93,0.5,0.2497875690460205
94,0.5,0.24978184700012207
95,0.5,0.24977608025074005
96,0.5,0.24977031350135803
97,0.5,0.24976453185081482
98,0.5,0.24975869059562683
99,0.5,0.24975289404392242
100,0.5,0.24974706768989563
101,0.5,0.24974119663238525
102,0.5,0.24973534047603607
103,0.5,0.2497294545173645
104,0.5,0.24972355365753174
105,0.5,0.24971765279769897
106,0.5,0.24971172213554382
107,0.5,0.24970576167106628
108,0.5,0.24969977140426636
109,0.5,0.24969378113746643
110,0.5,0.24968776106834412
111,0.5,0.2496817260980606
112,0.5,0.2496756762266159
113,0.5,0.24966958165168762
114,0.5,0.24966347217559814
115,0.5,0.24965733289718628
116,0.5,0.24965117871761322
117,0.5,0.24964499473571777
118,0.5,0.24963878095149994
119,0.5,0.2496325522661209
120,0.5,0.2496262788772583
121,0.5,0.2496199607849121
122,0.5,0.24961364269256592
123,0.5,0.24960730969905853
124,0.5,0.24960088729858398
125,0.5,0.24959447979927063
126,0.5,0.2495880275964737
127,0.5,0.24958154559135437
128,0.5,0.24957501888275146
129,0.5,0.24956846237182617
130,0.5,0.2495618760585785
131,0.5,0.24955525994300842
132,0.5,0.24954859912395477
133,0.5,0.24954190850257874
134,0.5,0.24953514337539673
135,0.5,0.24952837824821472
136,0.5,0.24952156841754913
137,0.5,0.24951471388339996
138,0.5,0.24950778484344482
139,0.5,0.2495008409023285
140,0.5,0.24949388206005096
141,0.5,0.24948684871196747
142,0.5,0.2494797557592392
143,0.75,0.24947264790534973
144,0.75,0.24946549534797668
145,0.75,0.24945825338363647
146,0.75,0.24945101141929626
147,0.75,0.24944369494915009
148,0.75,0.24943633377552032
149,0.75,0.24942894279956818
150,0.75,0.24942147731781006
151,0.75,0.24941393733024597
152,0.75,0.24940641224384308
153,0.75,0.24939876794815063
154,0.75,0.24939106404781342
155,0.75,0.2493833303451538
156,0.75,0.24937556684017181
157,0.75,0.24936771392822266
158,0.75,0.24935980141162872
159,0.75,0.2493518441915512
160,0.75,0.24934382736682892
161,0.75,0.24933573603630066
162,0.75,0.24932757019996643
163,0.75,0.24931935966014862
164,0.75,0.24931108951568604
165,0.75,0.24930274486541748
166,0.75,0.24929432570934296
167,0.75,0.24928584694862366
168,0.75,0.2492772936820984
169,0.75,0.24926865100860596
170,0.75,0.24925999343395233
171,0.75,0.24925118684768677
172,0.75,0.2492423802614212
173,0.75,0.2492334544658661
174,0.75,0.249224454164505
175,0.75,0.24921539425849915
176,0.75,0.24920624494552612
177,0.75,0.24919703602790833
178,0.75,0.24918772280216217
179,0.75,0.24917832016944885
180,0.75,0.24916885793209076
181,0.75,0.2491593062877655
182,0.75,0.2491496503353119
183,0.75,0.2491399496793747
184,0.75,0.24913012981414795
185,0.75,0.24912020564079285
186,0.75,0.24911022186279297
187,0.75,0.24910011887550354
188,0.75,0.24908995628356934
189,0.75,0.2490796595811844
190,0.75,0.24906927347183228
191,0.75,0.2490588128566742
192,0.75,0.24904821813106537
193,0.75,0.24903753399848938
194,0.75,0.24902676045894623
195,0.75,0.24901586771011353
196,0.75,0.24900490045547485
197,0.75,0.24899378418922424
198,0.75,0.24898259341716766
199,0.75,0.24897125363349915
200,0.75,0.24895980954170227
201,0.75,0.24894827604293823
202,0.75,0.24893662333488464
203,0.75,0.24892482161521912
204,0.75,0.24891293048858643
205,0.75,0.24890092015266418
206,0.75,0.2488887459039688
207,0.75,0.24887651205062866
208,0.75,0.248864084482193
209,0.75,0.24885155260562897
210,0.75,0.2488388866186142
211,0.75,0.2488260716199875
212,0.75,0.24881315231323242
213,0.75,0.24880008399486542
214,0.75,0.24878686666488647
215,0.75,0.24877354502677917
216,0.75,0.24876004457473755
217,0.75,0.2487463802099228
218,0.75,0.24873259663581848
219,0.75,0.24871867895126343
220,0.75,0.24870458245277405
221,0.75,0.24869032204151154
222,0.75,0.24867591261863708
223,0.75,0.2486613392829895
224,0.75,0.24864661693572998
225,0.75,0.24863173067569733
226,0.75,0.24861663579940796
227,0.75,0.24860143661499023
228,0.75,0.2485860139131546
229,0.75,0.24857042729854584
230,0.75,0.24855466187000275
231,0.75,0.24853873252868652
232,0.75,0.24852260947227478
233,0.75,0.24850627779960632
234,0.75,0.24848976731300354
235,0.75,0.24847309291362762
236,0.75,0.2484561949968338
237,0.75,0.24843910336494446
238,0.75,0.2484217882156372
239,0.75,0.24840429425239563
240,0.75,0.24838659167289734
241,0.75,0.24836866557598114
242,0.75,0.24835053086280823
243,0.75,0.2483321577310562
244,0.75,0.24831360578536987
245,0.75,0.24829477071762085
246,0.75,0.2482757568359375
247,0.75,0.24825648963451385
248,0.75,0.2482369840145111
249,0.75,0.24821723997592926
250,0.75,0.24819724261760712
251,0.75,0.24817702174186707
252,0.75,0.24815651774406433
253,0.75,0.2481357604265213
254,0.75,0.24811474978923798
255,0.75,0.24809348583221436
256,0.75,0.24807195365428925
257,0.75,0.24805012345314026
258,0.75,0.24802802503108978
259,0.75,0.24800565838813782
260,0.75,0.24798299372196198
261,0.75,0.24796003103256226
262,0.75,0.24793678522109985
263,0.75,0.2479132115840912
264,0.75,0.24788933992385864
265,0.75,0.24786518514156342
266,0.75,0.24784070253372192
267,0.75,0.24781587719917297
268,0.75,0.24779073894023895
269,0.75,0.24776528775691986
270,0.75,0.24773947894573212
271,0.75,0.24771331250667572
272,0.75,0.24768683314323425
273,0.75,0.24765998125076294
274,0.75,0.24763274192810059
275,0.75,0.24760514497756958
276,0.75,0.2475772202014923
277,0.75,0.24754886329174042
278,0.75,0.24752016365528107
279,0.75,0.24749106168746948
280,0.75,0.24746151268482208
281,0.75,0.24743163585662842
282,0.75,0.24740129709243774
283,0.75,0.24737057089805603
284,0.75,0.2473393976688385
285,0.75,0.24730779230594635
286,0.75,0.24727573990821838
287,0.75,0.2472432553768158
288,0.75,0.247210294008255
289,0.75,0.2471769154071808
290,0.75,0.24714304506778717
291,0.75,0.24710866808891296
292,0.75,0.24707382917404175
293,0.75,0.24703851342201233
294,0.75,0.24700269103050232
295,0.75,0.24696633219718933
296,0.75,0.24692946672439575
297,0.75,0.2468920648097992
298,0.75,0.24685415625572205
299,0.75,0.24681568145751953
300,0.75,0.24677665531635284
301,0.75,0.2467370629310608
302,0.75,0.24669687449932098
303,0.75,0.246656134724617
304,0.75,0.24661479890346527
305,0.75,0.2465728372335434
306,0.75,0.24653029441833496
307,0.75,0.2464871108531952
308,0.75,0.2464432567358017
309,0.75,0.24639877676963806
310,0.75,0.24635367095470428
311,0.75,0.24630790948867798
312,0.75,0.24626141786575317
313,0.75,0.24621428549289703
314,0.75,0.2461664080619812
315,0.75,0.24611783027648926
316,0.75,0.24606853723526
317,0.75,0.24601849913597107
318,0.75,0.24596773087978363
319,0.75,0.2459161877632141
320,0.75,0.24586385488510132
321,0.75,0.24581074714660645
322,0.75,0.2457568347454071
323,0.75,0.2457021027803421
324,0.75,0.24564656615257263
325,0.75,0.24559016525745392
326,0.75,0.24553295969963074
327,0.75,0.24547481536865234
328,0.75,0.2454158365726471
329,0.75,0.24535588920116425
330,0.75,0.24529509246349335
331,0.75,0.24523337185382843
332,0.75,0.24517066776752472
333,0.75,0.2451070249080658
334,0.75,0.24504239857196808
335,0.75,0.24497681856155396
336,0.75,0.24491018056869507
337,0.75,0.244842529296875
338,0.75,0.24477386474609375
339,0.75,0.24470412731170654
340,0.75,0.24463334679603577
341,0.75,0.24456140398979187
342,0.75,0.2444884032011032
343,0.75,0.24441424012184143
344,0.75,0.2443389892578125
345,0.75,0.24426253139972687
346,0.75,0.24418491125106812
347,0.75,0.24410608410835266
348,0.75,0.2440260350704193
349,0.75,0.24394476413726807
350,0.75,0.24386224150657654
351,0.75,0.24377842247486115
352,0.75,0.2436933070421219
353,0.75,0.24360686540603638
354,0.75,0.243519127368927
355,0.75,0.2434299886226654
356,0.75,0.24333947896957397
357,0.75,0.2432475984096527
358,0.75,0.24315425753593445
359,0.75,0.24305950105190277
360,0.75,0.2429632991552353
361,0.75,0.24286556243896484
362,0.75,0.2427663803100586
363,0.75,0.2426656186580658
364,0.75,0.24256333708763123
365,0.75,0.2424594610929489
366,0.75,0.24235399067401886
367,0.75,0.24224691092967987
368,0.75,0.24213819205760956
369,0.75,0.24202778935432434
370,0.75,0.24191570281982422
371,0.75,0.241801917552948
372,0.75,0.2416863739490509
373,0.75,0.24156905710697174
374,0.75,0.2414499819278717
375,0.75,0.24132908880710602
376,0.75,0.2412063181400299
377,0.75,0.24108174443244934
378,0.75,0.24095523357391357
379,0.75,0.24082686007022858
380,0.75,0.240696519613266
381,0.75,0.240564227104187
382,0.75,0.24042993783950806
383,0.75,0.24029363691806793
384,0.75,0.24015530943870544
385,0.75,0.240014910697937
386,0.75,0.23987242579460144
387,0.75,0.23972779512405396
388,0.75,0.23958104848861694
389,0.75,0.23943209648132324
390,0.75,0.23928095400333405
391,0.75,0.23912759125232697
392,0.75,0.2389719933271408
393,0.75,0.238814115524292
394,0.75,0.23865389823913574
395,0.75,0.23849135637283325
396,0.75,0.23832648992538452
397,0.75,0.2381591796875
398,0.75,0.23798950016498566
399,0.75,0.23781734704971313
400,0.75,0.23764276504516602
401,0.75,0.23746563494205475
402,0.75,0.23728598654270172
403,0.75,0.23710379004478455
404,0.75,0.23691904544830322
405,0.75,0.2367316484451294
406,0.75,0.23654165863990784
407,0.75,0.2363489270210266
408,0.75,0.23615357279777527
409,0.75,0.23595547676086426
410,0.75,0.23575462400913239
411,0.75,0.23555099964141846
412,0.75,0.2353445589542389
413,0.75,0.2351352870464325
414,0.75,0.23492318391799927
415,0.75,0.23470816016197205
416,0.75,0.23449021577835083
417,0.75,0.23426935076713562
418,0.75,0.23404550552368164
419,0.75,0.2338186502456665
